Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,male,30,1.4,2.05754246496256,0.362853471850912
SAT,Body,male,30,1.41,2.06484845786981,0.357017557456389
SAT,Body,male,30,1.42,2.07215586771755,0.351252831467102
SAT,Body,male,30,1.43,2.07946475354497,0.345562260066602
SAT,Body,male,30,1.44,2.08677517439126,0.33994880943844
SAT,Body,male,30,1.45,2.09408718929559,0.33441544576617
SAT,Body,male,30,1.46,2.10140085729716,0.328965135233341
SAT,Body,male,30,1.47,2.10871623743516,0.323600844023505
SAT,Body,male,30,1.48,2.11603338874877,0.318325538320215
SAT,Body,male,30,1.49,2.12335237027718,0.31314218430702
SAT,Body,male,30,1.5,2.13067324105958,0.308053748167473
SAT,Body,male,30,1.51,2.13799609475196,0.303062921464325
SAT,Body,male,30,1.52,2.14532118609735,0.298171512790533
SAT,Body,male,30,1.53,2.15264890524134,0.293382619724128
SAT,Body,male,30,1.54,2.15997970449128,0.288703471101942
SAT,Body,male,30,1.55,2.16731402711468,0.284147794980491
SAT,Body,male,30,1.56,2.17465224250172,0.27973725329763
SAT,Body,male,30,1.57,2.18199459182891,0.275501568180437
SAT,Body,male,30,1.58,2.18934114747276,0.271477145297098
SAT,Body,male,30,1.59,2.19669178803524,0.267704239314873
SAT,Body,male,30,1.6,2.2040461892044,0.264222960440784
SAT,Body,male,30,1.61,2.21140382904697,0.261068642866299
SAT,Body,male,30,1.62,2.21876400496104,0.258267244939015
SAT,Body,male,30,1.63,2.22612585860202,0.255831498124019
SAT,Body,male,30,1.64,2.23348840475296,0.253758454840135
SAT,Body,male,30,1.65,2.24085056037042,0.252028910174595
SAT,Body,male,30,1.66,2.24821117083513,0.250608913196855
SAT,Body,male,30,1.67,2.25556903162835,0.24945327820133
SAT,Body,male,30,1.68,2.26292290503794,0.248510701127387
SAT,Body,male,30,1.69,2.27027153284465,0.247729829120416
SAT,Body,male,30,1.7,2.27761364703011,0.247065462777395
SAT,Body,male,30,1.71,2.28494798120637,0.246484019143113
