Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,male,81,1.4,2.25826892189483,0.235147148785542
SAT,Body,male,81,1.41,2.26557491480208,0.229311234391019
SAT,Body,male,81,1.42,2.27288232464982,0.223546508401731
SAT,Body,male,81,1.43,2.28019121047724,0.217855937001232
SAT,Body,male,81,1.44,2.28750163132353,0.21224248637307
SAT,Body,male,81,1.45,2.29481364622786,0.2067091227008
SAT,Body,male,81,1.46,2.30212731422943,0.201258812167971
SAT,Body,male,81,1.47,2.30944269436743,0.195894520958135
SAT,Body,male,81,1.48,2.31675984568104,0.190619215254844
SAT,Body,male,81,1.49,2.32407882720945,0.18543586124165
SAT,Body,male,81,1.5,2.33139969799185,0.180347425102103
SAT,Body,male,81,1.51,2.33872255168423,0.175356598398955
SAT,Body,male,81,1.52,2.34604764302962,0.170465189725163
SAT,Body,male,81,1.53,2.35337536217361,0.165676296658758
SAT,Body,male,81,1.54,2.36070616142355,0.160997148036572
SAT,Body,male,81,1.55,2.36804048404695,0.156441471915121
SAT,Body,male,81,1.56,2.37537869943399,0.152030930232259
SAT,Body,male,81,1.57,2.38272104876118,0.147795245115066
SAT,Body,male,81,1.58,2.39006760440503,0.143770822231727
SAT,Body,male,81,1.59,2.39741824496751,0.139997916249502
SAT,Body,male,81,1.6,2.40477264613667,0.136516637375413
SAT,Body,male,81,1.61,2.41213028597924,0.133362319800929
SAT,Body,male,81,1.62,2.41949046189331,0.130560921873645
SAT,Body,male,81,1.63,2.42685231553429,0.128125175058649
SAT,Body,male,81,1.64,2.43421486168523,0.126052131774765
SAT,Body,male,81,1.65,2.44157701730269,0.124322587109225
SAT,Body,male,81,1.66,2.4489376277674,0.122902590131485
SAT,Body,male,81,1.67,2.45629548856062,0.121746955135959
SAT,Body,male,81,1.68,2.46364936197021,0.120804378062016
SAT,Body,male,81,1.69,2.47099798977692,0.120023506055046
SAT,Body,male,81,1.7,2.47834010396238,0.119359139712025
SAT,Body,male,81,1.71,2.48567443813864,0.118777696077743
SAT,Body,male,81,1.72,2.4929997425176,0.118261136421942
SAT,Body,male,81,1.73,2.50031480479347,0.117808757246478
SAT,Body,male,81,1.74,2.50761847836952,0.117436528479652
SAT,Body,male,81,1.75,2.51490972151189,0.117174110109009
SAT,Body,male,81,1.76,2.52218771505493,0.117062150385627
SAT,Body,male,81,1.77,2.52945190768689,0.117145676598401
SAT,Body,male,81,1.78,2.53670198465127,0.117464467166976
SAT,Body,male,81,1.79,2.54393790300586,0.118046245172476
SAT,Body,male,81,1.8,2.55115991941981,0.118901381007764
SAT,Body,male,81,1.81,2.55836860269863,0.12001972310009
SAT,Body,male,81,1.82,2.56556482798521,0.121369982211558
SAT,Body,male,81,1.83,2.57274975133495,0.12290173392794
SAT,Body,male,81,1.84,2.57992476534023,0.124549740663878
SAT,Body,male,81,1.85,2.58709143844111,0.12623998142769
SAT,Body,male,81,1.86,2.59425144226529,0.127896559269144
SAT,Body,male,81,1.87,2.60140647258545,0.12944856261404
SAT,Body,male,81,1.88,2.60855817012361,0.130835998300817
SAT,Body,male,81,1.89,2.61570804740613,0.132014081328405
SAT,Body,male,81,1.9,2.62285742719951,0.132955430673046
SAT,Body,male,81,1.91,2.63000739683639,0.133650039596252
SAT,Body,male,81,1.92,2.63715878113318,0.134103212962746
SAT,Body,male,81,1.93,2.64431213480513,0.134331944085704
SAT,Body,male,81,1.94,2.65146775350838,0.134360398513985
SAT,Body,male,81,1.95,2.65862570107355,0.13421525528992
SAT,Body,male,81,1.96,2.66578584929075,0.133921619008437
SAT,Body,male,81,1.97,2.67294792585512,0.133500069039316
SAT,Body,male,81,1.98,2.68011156581624,0.132965183025887
SAT,Body,male,81,1.99,2.68727636206411,0.132325599916742
SAT,Body,male,81,2,2.69444191095022,0.131585418543415
SAT,Body,male,81,2.01,2.70160784997227,0.130746504481757
SAT,Body,male,81,2.02,2.70877388541979,0.129811135110224
SAT,Body,male,81,2.03,2.7159398088625,0.128784370521613
SAT,Body,male,81,2.04,2.72310550226101,0.127675598881192
SAT,Body,male,81,2.05,2.73027093221436,0.126498853777189
SAT,Body,male,81,2.06,2.73743613438517,0.125271707575182
SAT,Body,male,81,2.07,2.74460118696976,0.124013185274899
SAT,Body,male,81,2.08,2.75176617216126,0.122741336742305
SAT,Body,female,81,1.4,2.70645931999757,0.115390129265399
SAT,Body,female,81,1.41,2.70901290931074,0.11525853287641
SAT,Body,female,81,1.42,2.71156649862442,0.115166533296323
SAT,Body,female,81,1.43,2.71412008793862,0.115125650134467
SAT,Body,female,81,1.44,2.71667367725332,0.115148519081395
SAT,Body,female,81,1.45,2.71922726656849,0.115247916694393
SAT,Body,female,81,1.46,2.72178085588408,0.11543563181274
SAT,Body,female,81,1.47,2.72433444520001,0.115721245818161
