Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,male,70,1.4,2.28886176202733,0.252948379293577
SAT,Body,male,70,1.41,2.29616775493458,0.247112464899054
SAT,Body,male,70,1.42,2.30347516478233,0.241347738909767
SAT,Body,male,70,1.43,2.31078405060975,0.235657167509267
SAT,Body,male,70,1.44,2.31809447145603,0.230043716881106
SAT,Body,male,70,1.45,2.32540648636037,0.224510353208835
SAT,Body,male,70,1.46,2.33272015436194,0.219060042676006
SAT,Body,male,70,1.47,2.34003553449994,0.213695751466171
SAT,Body,male,70,1.48,2.34735268581355,0.20842044576288
SAT,Body,male,70,1.49,2.35467166734196,0.203237091749685
SAT,Body,male,70,1.5,2.36199253812435,0.198148655610139
SAT,Body,male,70,1.51,2.36931539181673,0.19315782890699
SAT,Body,male,70,1.52,2.37664048316212,0.188266420233198
SAT,Body,male,70,1.53,2.38396820230611,0.183477527166793
SAT,Body,male,70,1.54,2.39129900155606,0.178798378544607
SAT,Body,male,70,1.55,2.39863332417946,0.174242702423156
SAT,Body,male,70,1.56,2.40597153956649,0.169832160740295
SAT,Body,male,70,1.57,2.41331388889368,0.165596475623102
SAT,Body,male,70,1.58,2.42066044453754,0.161572052739763
SAT,Body,male,70,1.59,2.42801108510002,0.157799146757538
SAT,Body,male,70,1.6,2.43536548626918,0.154317867883449
SAT,Body,male,70,1.61,2.44272312611174,0.151163550308964
SAT,Body,male,70,1.62,2.45008330202582,0.14836215238168
SAT,Body,male,70,1.63,2.4574451556668,0.145926405566685
SAT,Body,male,70,1.64,2.46480770181773,0.1438533622828
SAT,Body,male,70,1.65,2.47216985743519,0.14212381761726
SAT,Body,male,70,1.66,2.4795304678999,0.14070382063952
SAT,Body,male,70,1.67,2.48688832869312,0.139548185643995
SAT,Body,male,70,1.68,2.49424220210271,0.138605608570052
SAT,Body,male,70,1.69,2.50159082990943,0.137824736563081
SAT,Body,male,70,1.7,2.50893294409488,0.13716037022006
SAT,Body,male,70,1.71,2.51626727827114,0.136578926585778
SAT,Body,male,70,1.72,2.5235925826501,0.136062366929977
SAT,Body,male,70,1.73,2.53090764492597,0.135609987754513
SAT,Body,male,70,1.74,2.53821131850202,0.135237758987687
SAT,Body,male,70,1.75,2.5455025616444,0.134975340617044
SAT,Body,male,70,1.76,2.55278055518743,0.134863380893663
SAT,Body,male,70,1.77,2.5600447478194,0.134946907106437
SAT,Body,male,70,1.78,2.56729482478378,0.135265697675012
SAT,Body,male,70,1.79,2.57453074313836,0.135847475680512
SAT,Body,male,70,1.8,2.58175275955232,0.136702611515799
SAT,Body,male,70,1.81,2.58896144283113,0.137820953608126
SAT,Body,male,70,1.82,2.59615766811771,0.139171212719594
SAT,Body,male,70,1.83,2.60334259146746,0.140702964435975
SAT,Body,male,70,1.84,2.61051760547274,0.142350971171914
SAT,Body,male,70,1.85,2.61768427857361,0.144041211935726
SAT,Body,male,70,1.86,2.62484428239779,0.14569778977718
SAT,Body,male,70,1.87,2.63199931271795,0.147249793122075
SAT,Body,male,70,1.88,2.63915101025611,0.148637228808852
SAT,Body,male,70,1.89,2.64630088753863,0.14981531183644
SAT,Body,male,70,1.9,2.65345026733202,0.150756661181082
SAT,Body,male,70,1.91,2.66060023696889,0.151451270104287
SAT,Body,male,70,1.92,2.66775162126568,0.151904443470781
SAT,Body,male,70,1.93,2.67490497493764,0.152133174593739
SAT,Body,male,70,1.94,2.68206059364089,0.15216162902202
SAT,Body,male,70,1.95,2.68921854120606,0.152016485797956
SAT,Body,male,70,1.96,2.69637868942325,0.151722849516472
SAT,Body,male,70,1.97,2.70354076598762,0.151301299547351
SAT,Body,male,70,1.98,2.71070440594874,0.150766413533922
SAT,Body,male,70,1.99,2.71786920219662,0.150126830424777
SAT,Body,male,70,2,2.72503475108273,0.14938664905145
SAT,Body,male,70,2.01,2.73220069010478,0.148547734989793
SAT,Body,male,70,2.02,2.7393667255523,0.14761236561826
SAT,Body,male,70,2.03,2.746532648995,0.146585601029648
SAT,Body,male,70,2.04,2.75369834239351,0.145476829389228
SAT,Body,male,70,2.05,2.76086377234686,0.144300084285224
SAT,Body,male,70,2.06,2.76802897451767,0.143072938083218
SAT,Body,male,70,2.07,2.77519402710227,0.141814415782934
SAT,Body,male,70,2.08,2.78235901229377,0.140542567250341
SAT,Body,female,70,1.4,2.76327962250179,0.125884870999367
SAT,Body,female,70,1.41,2.76583321181496,0.125753274610378
SAT,Body,female,70,1.42,2.76838680112864,0.125661275030291
SAT,Body,female,70,1.43,2.77094039044283,0.125620391868435
SAT,Body,female,70,1.44,2.77349397975753,0.125643260815363
SAT,Body,female,70,1.45,2.77604756907271,0.125742658428361
SAT,Body,female,70,1.46,2.7786011583883,0.125930373546708
SAT,Body,female,70,1.47,2.78115474770422,0.126215987552129
SAT,Body,female,70,1.48,2.78370833702037,0.1266056498686
SAT,Body,female,70,1.49,2.78626192633659,0.127100952593806
SAT,Body,female,70,1.5,2.7888155156527,0.127698015867901
SAT,Body,female,70,1.51,2.79136910496851,0.128386891439041
SAT,Body,female,70,1.52,2.79392269428378,0.129151375155794
SAT,Body,female,70,1.53,2.79647628359826,0.129969290592647
SAT,Body,female,70,1.54,2.79902987291172,0.130813267973207
SAT,Body,female,70,1.55,2.8015834622239,0.131651998548157
SAT,Body,female,70,1.56,2.80413705153459,0.132451899061093
SAT,Body,female,70,1.57,2.8066906408436,0.13317907874266
SAT,Body,female,70,1.58,2.80924423015077,0.133801467098721
SAT,Body,female,70,1.59,2.81179781945603,0.134290938575458
SAT,Body,female,70,1.6,2.81435140875934,0.134625262778785
SAT,Body,female,70,1.61,2.81690499806074,0.134789717552078
SAT,Body,female,70,1.62,2.81945858736031,0.134778226434288
SAT,Body,female,70,1.63,2.82201217665823,0.134593919723202
SAT,Body,female,70,1.64,2.82456576595467,0.134249066006174
SAT,Body,female,70,1.65,2.82711935524989,0.133764373985785
SAT,Body,female,70,1.66,2.82967294454414,0.133167717560588
SAT,Body,female,70,1.67,2.83222653383768,0.132492385268855
SAT,Body,female,70,1.68,2.83478012313077,0.131774993773337
SAT,Body,female,70,1.69,2.83733371242364,0.131053230504048
SAT,Body,female,70,1.7,2.83988730171651,0.130363600724097
SAT,Body,female,70,1.71,2.84244089100954,0.129739348565745
SAT,Body,female,70,1.72,2.84499448030286,0.129208701023738
SAT,Body,female,70,1.73,2.84754806959653,0.128793550951354
SAT,Body,female,70,1.74,2.85010165889062,0.128508653369934
SAT,Body,female,70,1.75,2.85265524818512,0.12836136317359
SAT,Body,female,70,1.76,2.85520883748,0.128351896122234
SAT,Body,female,70,1.77,2.85776242677522,0.128474053164715
SAT,Body,female,70,1.78,2.86031601607071,0.128716314254457
SAT,Body,female,70,1.79,2.86286960536639,0.129063184556447
SAT,Body,female,70,1.8,2.86542319466221,0.12949666474506
SAT,Body,female,70,1.81,2.86797678395807,0.129997718142309
SAT,Body,female,70,1.82,2.87053037325393,0.13054761973657
SAT,Body,female,70,1.83,2.87308396254972,0.131129093633916
SAT,Body,female,70,1.84,2.87563755184539,0.131727173474063
SAT,Body,female,70,1.85,2.87819114114091,0.132329751627348
SAT,Body,female,70,1.86,2.88074473043626,0.132927814345819
SAT,Body,female,70,1.87,2.8832983197314,0.133515388487326
SAT,Body,female,70,1.88,2.88585190902634,0.134089248498767
SAT,Body,female,70,1.89,2.88840549832107,0.134648448275574
SAT,Body,female,70,1.9,2.89095908761559,0.135193750371197
SAT,Body,female,70,1.91,2.89351267690992,0.13572702472169
SAT,Body,female,70,1.92,2.89606626620407,0.136250681281353
SAT,Body,female,70,1.93,2.89861985549808,0.136767187123733
SAT,Body,female,70,1.94,2.90117344479196,0.137278700561687
SAT,Body,female,70,1.95,2.90372703408575,0.137786947469476
SAT,Body,female,70,1.96,2.90628062337948,0.138293445928967
SAT,Body,female,70,1.97,2.90883421267317,0.138799158703934
SAT,Body,female,70,1.98,2.91138780196685,0.139304529353343
SAT,Body,female,70,1.99,2.91394139126052,0.139809842981827
SAT,Body,female,70,2,2.91649498055419,0.14031515661031
SAT,Body,female,70,2.01,2.91904856984786,0.140820470238794
SAT,Body,female,70,2.02,2.92160215914154,0.141325783867277
SAT,Body,female,70,2.03,2.92415574843521,0.141831097495761
SAT,Body,female,70,2.04,2.92670933772888,0.142336411124244
SAT,Body,female,70,2.05,2.92926292702256,0.142841724752728
SAT,Body,female,70,2.06,2.93181651631623,0.143347038381211
SAT,Body,female,70,2.07,2.9343701056099,0.143852352009695
SAT,Body,female,70,2.08,2.93692369490357,0.144357665638179
SAT,Abdomen,male,70,1.4,2.28886176202733,0.252948379293577
SAT,Abdomen,male,70,1.41,2.29616775493458,0.247112464899054
SAT,Abdomen,male,70,1.42,2.30347516478233,0.241347738909767
