Measure,Structure,Sex,Age,Height,Mean,Variance
SAT,Body,male,65,1.4,2.30928564117728,0.259259623517826
SAT,Body,male,65,1.41,2.31659163408453,0.253423709123303
SAT,Body,male,65,1.42,2.32389904393228,0.247658983134016
SAT,Body,male,65,1.43,2.3312079297597,0.241968411733516
SAT,Body,male,65,1.44,2.33851835060598,0.236354961105354
SAT,Body,male,65,1.45,2.34583036551032,0.230821597433084
SAT,Body,male,65,1.46,2.35314403351189,0.225371286900255
SAT,Body,male,65,1.47,2.36045941364989,0.220006995690419
SAT,Body,male,65,1.48,2.3677765649635,0.214731689987128
SAT,Body,male,65,1.49,2.37509554649191,0.209548335973934
SAT,Body,male,65,1.5,2.3824164172743,0.204459899834387
SAT,Body,male,65,1.51,2.38973927096668,0.199469073131239
SAT,Body,male,65,1.52,2.39706436231207,0.194577664457447
SAT,Body,male,65,1.53,2.40439208145606,0.189788771391042
SAT,Body,male,65,1.54,2.41172288070601,0.185109622768856
SAT,Body,male,65,1.55,2.41905720332941,0.180553946647405
SAT,Body,male,65,1.56,2.42639541871644,0.176143404964544
SAT,Body,male,65,1.57,2.43373776804363,0.17190771984735
SAT,Body,male,65,1.58,2.44108432368749,0.167883296964011
SAT,Body,male,65,1.59,2.44843496424997,0.164110390981786
SAT,Body,male,65,1.6,2.45578936541913,0.160629112107697
SAT,Body,male,65,1.61,2.46314700526169,0.157474794533213
SAT,Body,male,65,1.62,2.47050718117577,0.154673396605929
SAT,Body,male,65,1.63,2.47786903481675,0.152237649790933
SAT,Body,male,65,1.64,2.48523158096768,0.150164606507049
SAT,Body,male,65,1.65,2.49259373658514,0.148435061841509
SAT,Body,male,65,1.66,2.49995434704985,0.147015064863769
SAT,Body,male,65,1.67,2.50731220784307,0.145859429868244
SAT,Body,male,65,1.68,2.51466608125266,0.144916852794301
SAT,Body,male,65,1.69,2.52201470905938,0.14413598078733
SAT,Body,male,65,1.7,2.52935682324483,0.143471614444309
SAT,Body,male,65,1.71,2.53669115742109,0.142890170810027
SAT,Body,male,65,1.72,2.54401646180005,0.142373611154226
SAT,Body,male,65,1.73,2.55133152407592,0.141921231978762
SAT,Body,male,65,1.74,2.55863519765197,0.141549003211936
SAT,Body,male,65,1.75,2.56592644079435,0.141286584841293
SAT,Body,male,65,1.76,2.57320443433738,0.141174625117912
SAT,Body,male,65,1.77,2.58046862696935,0.141258151330685
SAT,Body,male,65,1.78,2.58771870393373,0.14157694189926
SAT,Body,male,65,1.79,2.59495462228831,0.14215871990476
SAT,Body,male,65,1.8,2.60217663870227,0.143013855740048
SAT,Body,male,65,1.81,2.60938532198108,0.144132197832374
SAT,Body,male,65,1.82,2.61658154726766,0.145482456943843
SAT,Body,male,65,1.83,2.62376647061741,0.147014208660224
SAT,Body,male,65,1.84,2.63094148462269,0.148662215396162
SAT,Body,male,65,1.85,2.63810815772356,0.150352456159975
SAT,Body,male,65,1.86,2.64526816154774,0.152009034001428
SAT,Body,male,65,1.87,2.6524231918679,0.153561037346324
SAT,Body,male,65,1.88,2.65957488940606,0.154948473033101
SAT,Body,male,65,1.89,2.66672476668858,0.156126556060689
SAT,Body,male,65,1.9,2.67387414648197,0.15706790540533
SAT,Body,male,65,1.91,2.68102411611884,0.157762514328536
SAT,Body,male,65,1.92,2.68817550041563,0.15821568769503
SAT,Body,male,65,1.93,2.69532885408759,0.158444418817988
SAT,Body,male,65,1.94,2.70248447279084,0.158472873246269
SAT,Body,male,65,1.95,2.70964242035601,0.158327730022204
SAT,Body,male,65,1.96,2.7168025685732,0.158034093740721
SAT,Body,male,65,1.97,2.72396464513757,0.1576125437716
SAT,Body,male,65,1.98,2.73112828509869,0.157077657758171
SAT,Body,male,65,1.99,2.73829308134657,0.156438074649026
SAT,Body,male,65,2,2.74545863023268,0.155697893275699
SAT,Body,male,65,2.01,2.75262456925473,0.154858979214041
SAT,Body,male,65,2.02,2.75979060470225,0.153923609842508
SAT,Body,male,65,2.03,2.76695652814495,0.152896845253897
SAT,Body,male,65,2.04,2.77412222154346,0.151788073613477
SAT,Body,male,65,2.05,2.78128765149681,0.150611328509473
SAT,Body,male,65,2.06,2.78845285366762,0.149384182307466
SAT,Body,male,65,2.07,2.79561790625222,0.148125660007183
SAT,Body,male,65,2.08,2.80278289144372,0.14685381147459
SAT,Body,female,65,1.4,2.77960618428939,0.136634421164054
SAT,Body,female,65,1.41,2.78215977360256,0.136502824775065
SAT,Body,female,65,1.42,2.78471336291624,0.136410825194978
SAT,Body,female,65,1.43,2.78726695223043,0.136369942033122
SAT,Body,female,65,1.44,2.78982054154513,0.13639281098005
SAT,Body,female,65,1.45,2.79237413086031,0.136492208593048
SAT,Body,female,65,1.46,2.7949277201759,0.136679923711395
SAT,Body,female,65,1.47,2.79748130949182,0.136965537716817
SAT,Body,female,65,1.48,2.80003489880797,0.137355200033288
SAT,Body,female,65,1.49,2.80258848812419,0.137850502758493
SAT,Body,female,65,1.5,2.8051420774403,0.138447566032588
SAT,Body,female,65,1.51,2.80769566675611,0.139136441603729
SAT,Body,female,65,1.52,2.81024925607138,0.139900925320481
SAT,Body,female,65,1.53,2.81280284538586,0.140718840757334
SAT,Body,female,65,1.54,2.81535643469932,0.141562818137894
SAT,Body,female,65,1.55,2.8179100240115,0.142401548712845
SAT,Body,female,65,1.56,2.82046361332219,0.14320144922578
SAT,Body,female,65,1.57,2.8230172026312,0.143928628907348
SAT,Body,female,65,1.58,2.82557079193837,0.144551017263408
SAT,Body,female,65,1.59,2.82812438124363,0.145040488740145
SAT,Body,female,65,1.6,2.83067797054694,0.145374812943472
SAT,Body,female,65,1.61,2.83323155984833,0.145539267716766
SAT,Body,female,65,1.62,2.83578514914791,0.145527776598975
SAT,Body,female,65,1.63,2.83833873844583,0.145343469887889
SAT,Body,female,65,1.64,2.84089232774227,0.144998616170861
SAT,Body,female,65,1.65,2.84344591703749,0.144513924150473
SAT,Body,female,65,1.66,2.84599950633174,0.143917267725275
SAT,Body,female,65,1.67,2.84855309562528,0.143241935433542
SAT,Body,female,65,1.68,2.85110668491837,0.142524543938024
SAT,Body,female,65,1.69,2.85366027421124,0.141802780668735
SAT,Body,female,65,1.7,2.85621386350411,0.141113150888784
SAT,Body,female,65,1.71,2.85876745279714,0.140488898730432
SAT,Body,female,65,1.72,2.86132104209045,0.139958251188425
SAT,Body,female,65,1.73,2.86387463138413,0.139543101116041
SAT,Body,female,65,1.74,2.86642822067822,0.139258203534621
SAT,Body,female,65,1.75,2.86898180997272,0.139110913338277
SAT,Body,female,65,1.76,2.8715353992676,0.139101446286921
SAT,Body,female,65,1.77,2.87408898856282,0.139223603329402
SAT,Body,female,65,1.78,2.87664257785831,0.139465864419144
SAT,Body,female,65,1.79,2.87919616715399,0.139812734721135
SAT,Body,female,65,1.8,2.88174975644981,0.140246214909747
SAT,Body,female,65,1.81,2.88430334574567,0.140747268306996
SAT,Body,female,65,1.82,2.88685693504153,0.141297169901257
SAT,Body,female,65,1.83,2.88941052433732,0.141878643798603
SAT,Body,female,65,1.84,2.89196411363299,0.14247672363875
SAT,Body,female,65,1.85,2.89451770292851,0.143079301792035
SAT,Body,female,65,1.86,2.89707129222386,0.143677364510506
SAT,Body,female,65,1.87,2.899624881519,0.144264938652013
SAT,Body,female,65,1.88,2.90217847081394,0.144838798663455
SAT,Body,female,65,1.89,2.90473206010867,0.145397998440261
SAT,Body,female,65,1.9,2.90728564940319,0.145943300535884
SAT,Body,female,65,1.91,2.90983923869752,0.146476574886378
SAT,Body,female,65,1.92,2.91239282799167,0.14700023144604
SAT,Body,female,65,1.93,2.91494641728567,0.14751673728842
SAT,Body,female,65,1.94,2.91750000657956,0.148028250726374
SAT,Body,female,65,1.95,2.92005359587335,0.148536497634163
SAT,Body,female,65,1.96,2.92260718516708,0.149042996093654
SAT,Body,female,65,1.97,2.92516077446077,0.149548708868621
SAT,Body,female,65,1.98,2.92771436375445,0.150054079518031
SAT,Body,female,65,1.99,2.93026795304812,0.150559393146514
SAT,Body,female,65,2,2.93282154234179,0.151064706774998
SAT,Body,female,65,2.01,2.93537513163546,0.151570020403481
SAT,Body,female,65,2.02,2.93792872092914,0.152075334031965
SAT,Body,female,65,2.03,2.94048231022281,0.152580647660448
SAT,Body,female,65,2.04,2.94303589951648,0.153085961288932
SAT,Body,female,65,2.05,2.94558948881015,0.153591274917415
SAT,Body,female,65,2.06,2.94814307810383,0.154096588545899
SAT,Body,female,65,2.07,2.9506966673975,0.154601902174382
SAT,Body,female,65,2.08,2.95325025669117,0.155107215802866
SAT,Abdomen,male,65,1.4,1.93858457695233,0.317508541586525
SAT,Abdomen,male,65,1.41,1.94698415039302,0.308168698882857
SAT,Abdomen,male,65,1.42,1.95538372384567,0.298978449394192
SAT,Abdomen,male,65,1.43,1.96378329731077,0.289944026171154
SAT,Abdomen,male,65,1.44,1.97218287078883,0.281071662264368
SAT,Abdomen,male,65,1.45,1.98058244428034,0.27236759072446
SAT,Abdomen,male,65,1.46,1.98898201778579,0.263838044602054
SAT,Abdomen,male,65,1.47,1.99738159130569,0.255489256947776
SAT,Abdomen,male,65,1.48,2.00578116484054,0.24732746081225
SAT,Abdomen,male,65,1.49,2.01418073839083,0.239358889246102
SAT,Abdomen,male,65,1.5,2.02258031195706,0.231589775299957
SAT,Abdomen,male,65,1.51,2.03097988554,0.224026474026681
SAT,Abdomen,male,65,1.52,2.03937945914164,0.216676405910439
SAT,Abdomen,male,65,1.53,2.04777903276503,0.209550450146686
SAT,Abdomen,male,65,1.54,2.05617860641368,0.202665553122289
SAT,Abdomen,male,65,1.55,2.06457818009108,0.196046760988143
SAT,Abdomen,male,65,1.56,2.07297775380015,0.18972812927771
SAT,Abdomen,male,65,1.57,2.08137732754286,0.183752072969536
SAT,Abdomen,male,65,1.58,2.08977690131994,0.178166949669416
SAT,Abdomen,male,65,1.59,2.09817647513066,0.173022969247354
SAT,Abdomen,male,65,1.6,2.10657604897278,0.168366838241458
SAT,Abdomen,male,65,1.61,2.11497562284261,0.164235818078496
SAT,Abdomen,male,65,1.62,2.12337519673514,0.160652051486739
SAT,Abdomen,male,65,1.63,2.13177477064422,0.157618055670539
SAT,Abdomen,male,65,1.64,2.14017434456282,0.15511417944816
SAT,Abdomen,male,65,1.65,2.14857391848324,0.153098584059721
SAT,Abdomen,male,65,1.66,2.15697349239731,0.151509965864527
SAT,Abdomen,male,65,1.67,2.16537306629655,0.150272843694728
SAT,Abdomen,male,65,1.68,2.17377264017229,0.149304844432821
SAT,Abdomen,male,65,1.69,2.18217221401578,0.148525098394604
SAT,Abdomen,male,65,1.7,2.19057178781818,0.147862653349451
SAT,Abdomen,male,65,1.71,2.19897136157065,0.147263767172885
SAT,Abdomen,male,65,1.72,2.20737093526442,0.146697055760236
SAT,Abdomen,male,65,1.73,2.2157705088909,0.146155741142537
SAT,Abdomen,male,65,1.74,2.22417008244182,0.145656627298692
SAT,Abdomen,male,65,1.75,2.2325696559095,0.145236047848965
SAT,Abdomen,male,65,1.76,2.24096922928759,0.144946800584249
SAT,Abdomen,male,65,1.77,2.24936880257138,0.144849397176435
SAT,Abdomen,male,65,1.78,2.25776837575766,0.144998802862262
SAT,Abdomen,male,65,1.79,2.26616794884505,0.145435519971392
SAT,Abdomen,male,65,1.8,2.27456752183418,0.146178705452041
SAT,Abdomen,male,65,1.81,2.2829670947279,0.147222067618262
SAT,Abdomen,male,65,1.82,2.29136666753124,0.148533056123739
SAT,Abdomen,male,65,1.83,2.29976624025133,0.150055386904901
SAT,Abdomen,male,65,1.84,2.30816581289713,0.151714475530712
SAT,Abdomen,male,65,1.85,2.31656538547904,0.153424956505861
SAT,Abdomen,male,65,1.86,2.32496495800841,0.15509919958372
SAT,Abdomen,male,65,1.87,2.33336453049701,0.156655633902311
SAT,Abdomen,male,65,1.88,2.34176410295644,0.15802576798621
SAT,Abdomen,male,65,1.89,2.35016367539762,0.159159032501187
SAT,Abdomen,male,65,1.9,2.35856324783027,0.160024932911398
SAT,Abdomen,male,65,1.91,2.3669628202626,0.160612422852666
SAT,Abdomen,male,65,1.92,2.37536239270099,0.160926829470523
SAT,Abdomen,male,65,1.93,2.38376196514998,0.160985014409725
SAT,Abdomen,male,65,1.94,2.39216153761219,0.160809685720768
SAT,Abdomen,male,65,1.95,2.40056111008859,0.160423853792578
SAT,Abdomen,male,65,1.96,2.40896068257867,0.159846340470109
SAT,Abdomen,male,65,1.97,2.41736025508081,0.159089022392675
SAT,Abdomen,male,65,1.98,2.42575982759265,0.158156157381345
SAT,Abdomen,male,65,1.99,2.43415940011144,0.157045762219535
SAT,Abdomen,male,65,2,2.44255897263441,0.155752643762385
